. Semoga kedepan.ny semakin berkembang	5	positif	id	semoga kedepanny semakin berkembang	['semoga', 'kedepanny', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'semakin', 'berkembang']	['semoga', 'kedepannya', 'berkembang']	['moga', 'depan', 'kembang']
Saya salah memasukan email sampai sekarang blum menerima kode verifikasi	2	negatif	id	saya salah memasukan email sampai sekarang blum menerima kode verifikasi	['saya', 'salah', 'memasukan', 'email', 'sampai', 'sekarang', 'blum', 'menerima', 'kode', 'verifikasi']	['saya', 'salah', 'memasukan', 'email', 'sampai', 'sekarang', 'blum', 'menerima', 'kode', 'verifikasi']	['salah', 'memasukan', 'email', 'blum', 'menerima', 'kode', 'verifikasi']	['salah', 'pasu', 'email', 'blum', 'terima', 'kode', 'verifikasi']
Saya sangat kecewa aplikasi sangat banyak menguras data, membuat hape saya panas, dan juga lelet. Bug didalam nya terlihat seperti kumis yang sewot mulu. Jadinya saya terpaksa memberi rating bintang 1, karena aplikasi nya eror mulu. Terus gak bisa ngeluarin bensin pas lagi butuh, kembalikan ke versi sebelum nya.	1	negatif	id	saya sangat kecewa aplikasi sangat banyak menguras data membuat hape saya panas dan juga lelet bug didalam nya terlihat seperti kumis yang sewot mulu jadinya saya terpaksa memberi rating bintang karena aplikasi nya eror mulu terus gak bisa ngeluarin bensin pas lagi butuh kembalikan ke versi sebelum nya	['saya', 'sangat', 'kecewa', 'aplikasi', 'sangat', 'banyak', 'menguras', 'data', 'membuat', 'hape', 'saya', 'panas', 'dan', 'juga', 'lelet', 'bug', 'didalam', 'nya', 'terlihat', 'seperti', 'kumis', 'yang', 'sewot', 'mulu', 'jadinya', 'saya', 'terpaksa', 'memberi', 'rating', 'bintang', 'karena', 'aplikasi', 'nya', 'eror', 'mulu', 'terus', 'gak', 'bisa', 'ngeluarin', 'bensin', 'pas', 'lagi', 'butuh', 'kembalikan', 'ke', 'versi', 'sebelum', 'nya']	['saya', 'sangat', 'kecewa', 'aplikasi', 'sangat', 'banyak', 'menguras', 'data', 'membuat', 'hape', 'saya', 'panas', 'dan', 'juga', 'lelet', 'bug', 'didalam', 'nya', 'terlihat', 'seperti', 'kumis', 'yang', 'sewot', 'mulu', 'jadinya', 'saya', 'terpaksa', 'memberi', 'rating', 'bintang', 'karena', 'aplikasi', 'nya', 'eror', 'mulu', 'terus', 'enggak', 'bisa', 'mengeluarkan', 'bensin', 'pas', 'lagi', 'butuh', 'kembalikan', 'ke', 'versi', 'sebelum', 'nya']	['kecewa', 'aplikasi', 'menguras', 'data', 'hape', 'panas', 'lelet', 'bug', 'didalam', 'kumis', 'sewot', 'mulu', 'terpaksa', 'rating', 'bintang', 'aplikasi', 'eror', 'mulu', 'mengeluarkan', 'bensin', 'butuh', 'kembalikan', 'versi']	['kecewa', 'aplikasi', 'uras', 'data', 'hape', 'panas', 'lelet', 'bug', 'dalam', 'kumis', 'sewot', 'mulu', 'paksa', 'rating', 'bintang', 'aplikasi', 'eror', 'mulu', 'keluar', 'bensin', 'butuh', 'kembali', 'versi']
Saya sangat mendukung aplikasi mypertamina	5	positif	id	saya sangat mendukung aplikasi mypertamina	['saya', 'sangat', 'mendukung', 'aplikasi', 'mypertamina']	['saya', 'sangat', 'mendukung', 'aplikasi', 'mypertamina']	['mendukung', 'aplikasi', 'mypertamina']	['dukung', 'aplikasi', 'mypertamina']
Saya sangat trrbantu dengan fasilitas aplikasi My pertamina	5	positif	id	saya sangat trrbantu dengan fasilitas aplikasi my pertamina	['saya', 'sangat', 'trrbantu', 'dengan', 'fasilitas', 'aplikasi', 'my', 'pertamina']	['saya', 'sangat', 'trrbantu', 'dengan', 'fasilitas', 'aplikasi', 'my', 'pertamina']	['trrbantu', 'fasilitas', 'aplikasi', 'my', 'pertamina']	['trrbantu', 'fasilitas', 'aplikasi', 'my', 'pertamina']
Saya sebagai warga negara indonesia yg berpegang teguh pada butir2 pancasila, UUD 45, GBHN dan pedoman penghayatan dan pengamalan pancasila, hanya ingin bertanya sama pertamina,,fungsi larangan penggunaan handphone d area SPBU saat ini apa maaih berlaku...???	2	negatif	id	saya sebagai warga negara indonesia yg berpegang teguh pada butir pancasila uud gbhn dan pedoman penghayatan dan pengamalan pancasila hanya ingin bertanya sama pertaminafungsi larangan penggunaan handphone d area spbu saat ini apa maaih berlaku	['saya', 'sebagai', 'warga', 'negara', 'indonesia', 'yg', 'berpegang', 'teguh', 'pada', 'butir', 'pancasila', 'uud', 'gbhn', 'dan', 'pedoman', 'penghayatan', 'dan', 'pengamalan', 'pancasila', 'hanya', 'ingin', 'bertanya', 'sama', 'pertaminafungsi', 'larangan', 'penggunaan', 'handphone', 'd', 'area', 'spbu', 'saat', 'ini', 'apa', 'maaih', 'berlaku']	['saya', 'sebagai', 'warga', 'negara', 'indonesia', 'yang', 'berpegang', 'teguh', 'pada', 'butir', 'pancasila', 'uud', 'gbhn', 'dan', 'pedoman', 'penghayatan', 'dan', 'pengamalan', 'pancasila', 'hanya', 'ingin', 'bertanya', 'sama', 'pertaminafungsi', 'larangan', 'penggunaan', 'handphone', 'di', 'area', 'spbu', 'saat', 'ini', 'apa', 'maaih', 'berlaku']	['warga', 'negara', 'indonesia', 'berpegang', 'teguh', 'butir', 'pancasila', 'uud', 'gbhn', 'pedoman', 'penghayatan', 'pengamalan', 'pancasila', 'pertaminafungsi', 'larangan', 'penggunaan', 'handphone', 'area', 'spbu', 'maaih', 'berlaku']	['warga', 'negara', 'indonesia', 'pegang', 'teguh', 'butir', 'pancasila', 'uud', 'gbhn', 'pedoman', 'hayat', 'amal', 'pancasila', 'pertaminafungsi', 'larang', 'guna', 'handphone', 'area', 'spbu', 'maaih', 'laku']
"Saya sudah dapat email dan sudah tertulis sebagai penerima subsidi setelah saya coba di spbu terdekat dan mencoba barcode QR yang sudah saya dapatkan, malah tertulis "" BUKAN PENERIMA SUBSIDI "" saya coba rubah barcode QR sampai 5x tetap dengan hasil yang sama... aplikasi buruk, membuat bingung para pengguna, hanya ingin mengisi bbm saja terlalu ribet ini itu"	1	negatif	id	saya sudah dapat email dan sudah tertulis sebagai penerima subsidi setelah saya coba di spbu terdekat dan mencoba barcode qr yang sudah saya dapatkan malah tertulis bukan penerima subsidi saya coba rubah barcode qr sampai x tetap dengan hasil yang sama aplikasi buruk membuat bingung para pengguna hanya ingin mengisi bbm saja terlalu ribet ini itu	['saya', 'sudah', 'dapat', 'email', 'dan', 'sudah', 'tertulis', 'sebagai', 'penerima', 'subsidi', 'setelah', 'saya', 'coba', 'di', 'spbu', 'terdekat', 'dan', 'mencoba', 'barcode', 'qr', 'yang', 'sudah', 'saya', 'dapatkan', 'malah', 'tertulis', 'bukan', 'penerima', 'subsidi', 'saya', 'coba', 'rubah', 'barcode', 'qr', 'sampai', 'x', 'tetap', 'dengan', 'hasil', 'yang', 'sama', 'aplikasi', 'buruk', 'membuat', 'bingung', 'para', 'pengguna', 'hanya', 'ingin', 'mengisi', 'bbm', 'saja', 'terlalu', 'ribet', 'ini', 'itu']	['saya', 'sudah', 'dapat', 'email', 'dan', 'sudah', 'tertulis', 'sebagai', 'penerima', 'subsidi', 'setelah', 'saya', 'coba', 'di', 'spbu', 'terdekat', 'dan', 'mencoba', 'barcode', 'qr', 'yang', 'sudah', 'saya', 'dapatkan', 'malah', 'tertulis', 'bukan', 'penerima', 'subsidi', 'saya', 'coba', 'rubah', 'barcode', 'qr', 'sampai', 'kali', 'tetap', 'dengan', 'hasil', 'yang', 'sama', 'aplikasi', 'buruk', 'membuat', 'bingung', 'para', 'pengguna', 'hanya', 'ingin', 'mengisi', 'bbm', 'saja', 'terlalu', 'ribet', 'ini', 'itu']	['email', 'tertulis', 'penerima', 'subsidi', 'coba', 'spbu', 'terdekat', 'mencoba', 'barcode', 'qr', 'dapatkan', 'tertulis', 'penerima', 'subsidi', 'coba', 'rubah', 'barcode', 'qr', 'kali', 'hasil', 'aplikasi', 'buruk', 'bingung', 'pengguna', 'mengisi', 'bbm', 'ribet']	['email', 'tulis', 'terima', 'subsidi', 'coba', 'spbu', 'dekat', 'coba', 'barcode', 'qr', 'dapat', 'tulis', 'terima', 'subsidi', 'coba', 'rubah', 'barcode', 'qr', 'kali', 'hasil', 'aplikasi', 'buruk', 'bingung', 'guna', 'isi', 'bbm', 'ribet']
"Saya sudah memakai my pertamina stabil dan lancar. Karna tergantung dengan provider kartu perdana masing"" dan hpnya support atau tidak dalam pembacaan kode qr. Setiap wilayah SPBU pasti akan ada jaringan internet stabil atau tidak seperti Telkomsel, XL, Indosat, 3 ataupun Smartfreen"	5	positif	id	saya sudah memakai my pertamina stabil dan lancar karna tergantung dengan provider kartu perdana masing dan hpnya support atau tidak dalam pembacaan kode qr setiap wilayah spbu pasti akan ada jaringan internet stabil atau tidak seperti telkomsel xl indosat ataupun smartfreen	['saya', 'sudah', 'memakai', 'my', 'pertamina', 'stabil', 'dan', 'lancar', 'karna', 'tergantung', 'dengan', 'provider', 'kartu', 'perdana', 'masing', 'dan', 'hpnya', 'support', 'atau', 'tidak', 'dalam', 'pembacaan', 'kode', 'qr', 'setiap', 'wilayah', 'spbu', 'pasti', 'akan', 'ada', 'jaringan', 'internet', 'stabil', 'atau', 'tidak', 'seperti', 'telkomsel', 'xl', 'indosat', 'ataupun', 'smartfreen']	['saya', 'sudah', 'memakai', 'my', 'pertamina', 'stabil', 'dan', 'lancar', 'karena', 'tergantung', 'dengan', 'provider', 'kartu', 'perdana', 'masing', 'dan', 'hpnya', 'support', 'atau', 'tidak', 'dalam', 'pembacaan', 'kode', 'qr', 'setiap', 'wilayah', 'spbu', 'pasti', 'akan', 'ada', 'jaringan', 'internet', 'stabil', 'atau', 'tidak', 'seperti', 'telkomsel', 'xl', 'indosat', 'ataupun', 'smartfreen']	['memakai', 'my', 'pertamina', 'stabil', 'lancar', 'tergantung', 'provider', 'kartu', 'perdana', 'hpnya', 'support', 'pembacaan', 'kode', 'qr', 'wilayah', 'spbu', 'jaringan', 'internet', 'stabil', 'telkomsel', 'xl', 'indosat', 'smartfreen']	['pakai', 'my', 'pertamina', 'stabil', 'lancar', 'gantung', 'provider', 'kartu', 'perdana', 'hpnya', 'support', 'baca', 'kode', 'qr', 'wilayah', 'spbu', 'jaring', 'internet', 'stabil', 'telkomsel', 'xl', 'indosat', 'smartfreen']
Saya sudah mendaftar dan sudah berhasil registrasi. Setelah itu saya mau masuk aplikasi udah ngisi nomer dan pin yg terdaftar tidak bisa masuk. Berkali kali bahkan berjam jam tetap tidak bisa masuk. Udah sampai ganti hp dan cari sinyal terbaik. Tetep gagal terus. Harusnya kalo emang krusial,udah siap dong sistemnya. Jangan ada alasa ngedown atau apa, soalnya kita udah direpotkan dgn hal ini masak sistem masih kacau	1	negatif	id	saya sudah mendaftar dan sudah berhasil registrasi setelah itu saya mau masuk aplikasi udah ngisi nomer dan pin yg terdaftar tidak bisa masuk berkali kali bahkan berjam jam tetap tidak bisa masuk udah sampai ganti hp dan cari sinyal terbaik tetep gagal terus harusnya kalo emang krusialudah siap dong sistemnya jangan ada alasa ngedown atau apa soalnya kita udah direpotkan dgn hal ini masak sistem masih kacau	['saya', 'sudah', 'mendaftar', 'dan', 'sudah', 'berhasil', 'registrasi', 'setelah', 'itu', 'saya', 'mau', 'masuk', 'aplikasi', 'udah', 'ngisi', 'nomer', 'dan', 'pin', 'yg', 'terdaftar', 'tidak', 'bisa', 'masuk', 'berkali', 'kali', 'bahkan', 'berjam', 'jam', 'tetap', 'tidak', 'bisa', 'masuk', 'udah', 'sampai', 'ganti', 'hp', 'dan', 'cari', 'sinyal', 'terbaik', 'tetep', 'gagal', 'terus', 'harusnya', 'kalo', 'emang', 'krusialudah', 'siap', 'dong', 'sistemnya', 'jangan', 'ada', 'alasa', 'ngedown', 'atau', 'apa', 'soalnya', 'kita', 'udah', 'direpotkan', 'dgn', 'hal', 'ini', 'masak', 'sistem', 'masih', 'kacau']	['saya', 'sudah', 'mendaftar', 'dan', 'sudah', 'berhasil', 'registrasi', 'setelah', 'itu', 'saya', 'mau', 'masuk', 'aplikasi', 'sudah', 'ngisi', 'nomer', 'dan', 'pin', 'yang', 'terdaftar', 'tidak', 'bisa', 'masuk', 'berkali', 'kali', 'bahkan', 'berjam', 'jam', 'tetap', 'tidak', 'bisa', 'masuk', 'sudah', 'sampai', 'ganti', 'hp', 'dan', 'cari', 'sinyal', 'terbaik', 'tetap', 'gagal', 'terus', 'harusnya', 'kalo', 'memang', 'krusialudah', 'siap', 'dong', 'sistemnya', 'jangan', 'ada', 'alasa', 'ngedown', 'atau', 'apa', 'soalnya', 'kita', 'sudah', 'direpotkan', 'dengan', 'hal', 'ini', 'masak', 'sistem', 'masih', 'kacau']	['mendaftar', 'berhasil', 'registrasi', 'masuk', 'aplikasi', 'ngisi', 'nomer', 'terdaftar', 'masuk', 'berkali', 'kali', 'berjam', 'jam', 'masuk', 'ganti', 'hp', 'cari', 'sinyal', 'terbaik', 'gagal', 'krusialudah', 'sistemnya', 'alasa', 'ngedown', 'direpotkan', 'masak', 'sistem', 'kacau']	['daftar', 'hasil', 'registrasi', 'masuk', 'aplikasi', 'ngisi', 'nomer', 'daftar', 'masuk', 'kali', 'kali', 'jam', 'jam', 'masuk', 'ganti', 'hp', 'cari', 'sinyal', 'baik', 'gagal', 'krusialudah', 'sistem', 'alasa', 'ngedown', 'repot', 'masak', 'sistem', 'kacau']
Saya sudah si setujui mw cetak barcode saat klaim paaword claim salah melulu langsung dari website langsung bisa. Gmna sih aplikasinya apa g satu server?	2	negatif	id	saya sudah si setujui mw cetak barcode saat klaim paaword claim salah melulu langsung dari website langsung bisa gmna sih aplikasinya apa g satu server	['saya', 'sudah', 'si', 'setujui', 'mw', 'cetak', 'barcode', 'saat', 'klaim', 'paaword', 'claim', 'salah', 'melulu', 'langsung', 'dari', 'website', 'langsung', 'bisa', 'gmna', 'sih', 'aplikasinya', 'apa', 'g', 'satu', 'server']	['saya', 'sudah', 'sih', 'setujui', 'mau', 'cetak', 'barcode', 'saat', 'klaim', 'paaword', 'klaim', 'salah', 'melulu', 'langsung', 'dari', 'website', 'langsung', 'bisa', 'bagaimana', 'sih', 'aplikasinya', 'apa', 'enggak', 'satu', 'server']	['setujui', 'cetak', 'barcode', 'klaim', 'paaword', 'klaim', 'salah', 'melulu', 'langsung', 'website', 'langsung', 'aplikasinya', 'server']	['tuju', 'cetak', 'barcode', 'klaim', 'paaword', 'klaim', 'salah', 'melulu', 'langsung', 'website', 'langsung', 'aplikasi', 'server']
Saya supir tapi tak punya kendaraan pribadi, karena saya supir freelance kalau saya bawa mobil pasti mobil rental, sedang apk ini meminta pendaftaran dengan menggunakan stnk dan poto kendaraan untuk bisa mengaktifkan apk ini...!!! Kalau sy tak punya kendaraan bgmna sy harus daftar di apk ini...!! Mohon penjelasan nya...!!!	1	negatif	id	saya supir tapi tak punya kendaraan pribadi karena saya supir freelance kalau saya bawa mobil pasti mobil rental sedang apk ini meminta pendaftaran dengan menggunakan stnk dan poto kendaraan untuk bisa mengaktifkan apk ini kalau sy tak punya kendaraan bgmna sy harus daftar di apk ini mohon penjelasan nya	['saya', 'supir', 'tapi', 'tak', 'punya', 'kendaraan', 'pribadi', 'karena', 'saya', 'supir', 'freelance', 'kalau', 'saya', 'bawa', 'mobil', 'pasti', 'mobil', 'rental', 'sedang', 'apk', 'ini', 'meminta', 'pendaftaran', 'dengan', 'menggunakan', 'stnk', 'dan', 'poto', 'kendaraan', 'untuk', 'bisa', 'mengaktifkan', 'apk', 'ini', 'kalau', 'sy', 'tak', 'punya', 'kendaraan', 'bgmna', 'sy', 'harus', 'daftar', 'di', 'apk', 'ini', 'mohon', 'penjelasan', 'nya']	['saya', 'supir', 'tapi', 'tak', 'punya', 'kendaraan', 'pribadi', 'karena', 'saya', 'supir', 'freelance', 'kalau', 'saya', 'bawa', 'mobil', 'pasti', 'mobil', 'rental', 'sedang', 'aplikasi', 'ini', 'meminta', 'pendaftaran', 'dengan', 'menggunakan', 'stnk', 'dan', 'poto', 'kendaraan', 'untuk', 'bisa', 'mengaktifkan', 'aplikasi', 'ini', 'kalau', 'saya', 'tak', 'punya', 'kendaraan', 'bgmna', 'saya', 'harus', 'daftar', 'di', 'aplikasi', 'ini', 'mohon', 'penjelasan', 'nya']	['supir', 'kendaraan', 'pribadi', 'supir', 'freelance', 'bawa', 'mobil', 'mobil', 'rental', 'aplikasi', 'pendaftaran', 'stnk', 'poto', 'kendaraan', 'mengaktifkan', 'aplikasi', 'kendaraan', 'bgmna', 'daftar', 'aplikasi', 'mohon', 'penjelasan']	['supir', 'kendara', 'pribadi', 'supir', 'freelance', 'bawa', 'mobil', 'mobil', 'rental', 'aplikasi', 'daftar', 'stnk', 'poto', 'kendara', 'aktif', 'aplikasi', 'kendara', 'bgmna', 'daftar', 'aplikasi', 'mohon', 'jelas']
Saya tidak bisa melakukan pembayaran dengan ovo	2	negatif	id	saya tidak bisa melakukan pembayaran dengan ovo	['saya', 'tidak', 'bisa', 'melakukan', 'pembayaran', 'dengan', 'ovo']	['saya', 'tidak', 'bisa', 'melakukan', 'pembayaran', 'dengan', 'ovo']	['pembayaran', 'ovo']	['bayar', 'ovo']
Saya tidak bisa mendaftar di apk ini untuk bbm subsidi, selalu kembali ke menu awal dan data harus di kirim satu/satu kembali (tidak kesave). Benar2 tidak membantu. Daftar buat mobil tua saja sangat sulit.	1	negatif	id	saya tidak bisa mendaftar di apk ini untuk bbm subsidi selalu kembali ke menu awal dan data harus di kirim satusatu kembali tidak kesave benar tidak membantu daftar buat mobil tua saja sangat sulit	['saya', 'tidak', 'bisa', 'mendaftar', 'di', 'apk', 'ini', 'untuk', 'bbm', 'subsidi', 'selalu', 'kembali', 'ke', 'menu', 'awal', 'dan', 'data', 'harus', 'di', 'kirim', 'satusatu', 'kembali', 'tidak', 'kesave', 'benar', 'tidak', 'membantu', 'daftar', 'buat', 'mobil', 'tua', 'saja', 'sangat', 'sulit']	['saya', 'tidak', 'bisa', 'mendaftar', 'di', 'aplikasi', 'ini', 'untuk', 'bbm', 'subsidi', 'selalu', 'kembali', 'ke', 'menu', 'awal', 'dan', 'data', 'harus', 'di', 'kirim', 'satusatu', 'kembali', 'tidak', 'kesave', 'benar', 'tidak', 'membantu', 'daftar', 'buat', 'mobil', 'tua', 'saja', 'sangat', 'sulit']	['mendaftar', 'aplikasi', 'bbm', 'subsidi', 'menu', 'data', 'kirim', 'satusatu', 'kesave', 'membantu', 'daftar', 'mobil', 'tua', 'sulit']	['daftar', 'aplikasi', 'bbm', 'subsidi', 'menu', 'data', 'kirim', 'satusatu', 'kesave', 'bantu', 'daftar', 'mobil', 'tua', 'sulit']
Saya tidak masuk akal.	1	negatif	id	saya tidak masuk akal	['saya', 'tidak', 'masuk', 'akal']	['saya', 'tidak', 'masuk', 'akal']	['masuk', 'akal']	['masuk', 'akal']
Saya udah daftar nmer hp benar pin yang di buat benar, kok gak bisa masuk knp min, mohon bantuannya	2	negatif	id	saya udah daftar nmer hp benar pin yang di buat benar kok gak bisa masuk knp min mohon bantuannya	['saya', 'udah', 'daftar', 'nmer', 'hp', 'benar', 'pin', 'yang', 'di', 'buat', 'benar', 'kok', 'gak', 'bisa', 'masuk', 'knp', 'min', 'mohon', 'bantuannya']	['saya', 'sudah', 'daftar', 'nmer', 'hp', 'benar', 'pin', 'yang', 'di', 'buat', 'benar', 'kok', 'enggak', 'bisa', 'masuk', 'kenapa', 'min', 'mohon', 'bantuannya']	['daftar', 'nmer', 'hp', 'masuk', 'min', 'mohon', 'bantuannya']	['daftar', 'nmer', 'hp', 'masuk', 'min', 'mohon', 'bantu']
Sdh bagus cm msh suka lemot	4	positif	id	sdh bagus cm msh suka lemot	['sdh', 'bagus', 'cm', 'msh', 'suka', 'lemot']	['sudah', 'bagus', 'cuma', 'masih', 'suka', 'lambat']	['bagus', 'suka', 'lambat']	['bagus', 'suka', 'lambat']
Sdh lebih mudah utk pembukaan aplikasi	4	positif	id	sdh lebih mudah utk pembukaan aplikasi	['sdh', 'lebih', 'mudah', 'utk', 'pembukaan', 'aplikasi']	['sudah', 'lebih', 'mudah', 'untuk', 'pembukaan', 'aplikasi']	['mudah', 'pembukaan', 'aplikasi']	['mudah', 'buka', 'aplikasi']
sebagai anak bangsa saya akan ikutin aturan pemerintah.	5	positif	id	sebagai anak bangsa saya akan ikutin aturan pemerintah	['sebagai', 'anak', 'bangsa', 'saya', 'akan', 'ikutin', 'aturan', 'pemerintah']	['sebagai', 'anak', 'bangsa', 'saya', 'akan', 'mengikuti', 'aturan', 'pemerintah']	['anak', 'bangsa', 'mengikuti', 'aturan', 'pemerintah']	['anak', 'bangsa', 'ikut', 'atur', 'perintah']
Sebelum di publikasi secara global, sebaiknya di test dulu. Aplikasi masih banyak cacatnya kok langsung diterapkan dengan skala penggunaan yang besar. Mikir dong! Bukannya mempermudah malah memperibet warganya. Aplikasi sampah tidak berguna masih bnyak bugs. Mending adaptasi yang guna tidak usah implementasi secara real tidak semua orang yang ke pertamina itu bawa hpe atau anak muda.	1	negatif	id	sebelum di publikasi secara global sebaiknya di test dulu aplikasi masih banyak cacatnya kok langsung diterapkan dengan skala penggunaan yang besar mikir dong bukannya mempermudah malah memperibet warganya aplikasi sampah tidak berguna masih bnyak bugs mending adaptasi yang guna tidak usah implementasi secara real tidak semua orang yang ke pertamina itu bawa hpe atau anak muda	['sebelum', 'di', 'publikasi', 'secara', 'global', 'sebaiknya', 'di', 'test', 'dulu', 'aplikasi', 'masih', 'banyak', 'cacatnya', 'kok', 'langsung', 'diterapkan', 'dengan', 'skala', 'penggunaan', 'yang', 'besar', 'mikir', 'dong', 'bukannya', 'mempermudah', 'malah', 'memperibet', 'warganya', 'aplikasi', 'sampah', 'tidak', 'berguna', 'masih', 'bnyak', 'bugs', 'mending', 'adaptasi', 'yang', 'guna', 'tidak', 'usah', 'implementasi', 'secara', 'real', 'tidak', 'semua', 'orang', 'yang', 'ke', 'pertamina', 'itu', 'bawa', 'hpe', 'atau', 'anak', 'muda']	['sebelum', 'di', 'publikasi', 'secara', 'global', 'sebaiknya', 'di', 'test', 'dulu', 'aplikasi', 'masih', 'banyak', 'cacatnya', 'kok', 'langsung', 'diterapkan', 'dengan', 'skala', 'penggunaan', 'yang', 'besar', 'mikir', 'dong', 'bukannya', 'mempermudah', 'malah', 'memperibet', 'warganya', 'aplikasi', 'sampah', 'tidak', 'berguna', 'masih', 'banyak', 'bugs', 'mending', 'adaptasi', 'yang', 'guna', 'tidak', 'usah', 'implementasi', 'secara', 'real', 'tidak', 'semua', 'orang', 'yang', 'ke', 'pertamina', 'itu', 'bawa', 'hpe', 'atau', 'anak', 'muda']	['publikasi', 'global', 'test', 'aplikasi', 'cacatnya', 'langsung', 'diterapkan', 'skala', 'penggunaan', 'mikir', 'mempermudah', 'memperibet', 'warganya', 'aplikasi', 'sampah', 'berguna', 'bugs', 'mending', 'adaptasi', 'implementasi', 'real', 'orang', 'pertamina', 'bawa', 'hpe', 'anak', 'muda']	['publikasi', 'global', 'test', 'aplikasi', 'cacat', 'langsung', 'terap', 'skala', 'guna', 'mikir', 'mudah', 'memperibet', 'warga', 'aplikasi', 'sampah', 'guna', 'bugs', 'mending', 'adaptasi', 'implementasi', 'real', 'orang', 'pertamina', 'bawa', 'hpe', 'anak', 'muda']
sedang belajar mengikuti perkembangan jaman	4	positif	id	sedang belajar mengikuti perkembangan jaman	['sedang', 'belajar', 'mengikuti', 'perkembangan', 'jaman']	['sedang', 'belajar', 'mengikuti', 'perkembangan', 'jaman']	['belajar', 'mengikuti', 'perkembangan', 'jaman']	['ajar', 'ikut', 'kembang', 'jaman']
Seharusnya ini opsi bukan kewajiban. Pertamina membuat peraturan untuk tidak/melarang menggunakan Handphone/Celular ketika di Pom Bensin, ini malah membuat peraturan yang melanggar peraturan.	2	negatif	id	seharusnya ini opsi bukan kewajiban pertamina membuat peraturan untuk tidakmelarang menggunakan handphonecelular ketika di pom bensin ini malah membuat peraturan yang melanggar peraturan	['seharusnya', 'ini', 'opsi', 'bukan', 'kewajiban', 'pertamina', 'membuat', 'peraturan', 'untuk', 'tidakmelarang', 'menggunakan', 'handphonecelular', 'ketika', 'di', 'pom', 'bensin', 'ini', 'malah', 'membuat', 'peraturan', 'yang', 'melanggar', 'peraturan']	['seharusnya', 'ini', 'opsi', 'bukan', 'kewajiban', 'pertamina', 'membuat', 'peraturan', 'untuk', 'tidakmelarang', 'menggunakan', 'handphonecelular', 'ketika', 'di', 'pom', 'bensin', 'ini', 'malah', 'membuat', 'peraturan', 'yang', 'melanggar', 'peraturan']	['opsi', 'kewajiban', 'pertamina', 'peraturan', 'tidakmelarang', 'handphonecelular', 'pom', 'bensin', 'peraturan', 'melanggar', 'peraturan']	['opsi', 'wajib', 'pertamina', 'atur', 'tidakmelarang', 'handphonecelular', 'pom', 'bensin', 'atur', 'langgar', 'atur']
Seharusnya kalo mau di buat itu uji coba dulu sama pihak nya ini lama banget bnyak bug juga, untuk kirim otp via sms lama sekali minculnya sekalianya muncul malah diem si situ aja muter gajelas, kurang worth it sih bagi yg tidak mempunyai hp trus yg ga ngerti pembayran via aplikasi lagi.	1	negatif	id	seharusnya kalo mau di buat itu uji coba dulu sama pihak nya ini lama banget bnyak bug juga untuk kirim otp via sms lama sekali minculnya sekalianya muncul malah diem si situ aja muter gajelas kurang worth it sih bagi yg tidak mempunyai hp trus yg ga ngerti pembayran via aplikasi lagi	['seharusnya', 'kalo', 'mau', 'di', 'buat', 'itu', 'uji', 'coba', 'dulu', 'sama', 'pihak', 'nya', 'ini', 'lama', 'banget', 'bnyak', 'bug', 'juga', 'untuk', 'kirim', 'otp', 'via', 'sms', 'lama', 'sekali', 'minculnya', 'sekalianya', 'muncul', 'malah', 'diem', 'si', 'situ', 'aja', 'muter', 'gajelas', 'kurang', 'worth', 'it', 'sih', 'bagi', 'yg', 'tidak', 'mempunyai', 'hp', 'trus', 'yg', 'ga', 'ngerti', 'pembayran', 'via', 'aplikasi', 'lagi']	['seharusnya', 'kalo', 'mau', 'di', 'buat', 'itu', 'uji', 'coba', 'dulu', 'sama', 'pihak', 'nya', 'ini', 'lama', 'banget', 'banyak', 'bug', 'juga', 'untuk', 'kirim', 'otp', 'via', 'sms', 'lama', 'sekali', 'minculnya', 'sekalianya', 'muncul', 'malah', 'diam', 'sih', 'situ', 'saja', 'muter', 'enggak jelas', 'kurang', 'worth', 'itu', 'sih', 'bagi', 'yang', 'tidak', 'mempunyai', 'hp', 'terus', 'yang', 'enggak', 'mengerti', 'pembayran', 'via', 'aplikasi', 'lagi']	['uji', 'coba', 'banget', 'bug', 'kirim', 'otp', 'via', 'sms', 'minculnya', 'sekalianya', 'muncul', 'diam', 'situ', 'muter', 'enggak jelas', 'worth', 'hp', 'mengerti', 'pembayran', 'via', 'aplikasi']	['uji', 'coba', 'banget', 'bug', 'kirim', 'otp', 'via', 'sms', 'minculnya', 'sekalianya', 'muncul', 'diam', 'situ', 'muter', 'enggak jelas', 'worth', 'hp', 'erti', 'pembayran', 'via', 'aplikasi']
